Price,Type,Area(sqm),NoBedrooms,NoBathrooms,Furnishing,Amenities,Location
2500,Apartment,36,studio,1,Furnished,"Kitchen Appliances,Pets Allowed,Security",Al Sakhama
8000,Apartment,60,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,Shared Spa,View of Water",The Pearl
8100,Apartment,60,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,Shared Spa,View of Water",The Pearl
6000,Apartment,40,studio,1,Furnished,"Built in Wardrobes,Central A/C,Shared Gym,Shared Pool",West Bay
4200,HotelApartments,60,studio,1,Furnished,"Covered Parking,Security,Shared Gym,Shared Spa",Musheireb
7900,Apartment,60,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,Shared Spa,View of Water",The Pearl
8000,Apartment,60,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,Shared Spa,View of Water",The Pearl
6500,Apartment,80,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Children's Play Area,Kitchen Appliances,Security,Shared Gym,Shared Pool",The Pearl
7900,Apartment,60,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,View of Water",The Pearl
5000,Apartment,60,studio,1,,,The Pearl
5500,Apartment,60,studio,1,Unfurnished,"Central A/C,Concierge,Kitchen Appliances,Security,Shared Gym",The Pearl
6000,Apartment,60,studio,1,Partly furnished,"Built in Wardrobes,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6500,Apartment,76,studio,1,Partly furnished,"Balcony,Central A/C,Children's Play Area,Kitchen Appliances,Security,Shared Gym,Shared Pool",The Pearl
6000,Apartment,85,studio,2,Partly furnished,"Balcony,Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool",The Pearl
6000,Apartment,59,studio,1,Furnished,"Central A/C,Children's Play Area,Covered Parking,Security,Shared Gym,Shared Pool",The Pearl
6500,Apartment,55,studio,1,,,The Pearl
6000,Apartment,80,studio,1,Partly furnished,"Central A/C,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
9500,Apartment,43,studio,1,Furnished,"Built in Wardrobes,Central A/C,Concierge,Kitchen Appliances,Security,Shared Gym,Shared Pool,Shared Spa,Walk-in Closet",West Bay
6000,Apartment,70,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water,Walk-in Closet",The Pearl
6500,Apartment,75,studio,1,Furnished,"Built in Wardrobes,Central A/C,Concierge,Kitchen Appliances,Security,Shared Gym,Shared Pool",The Pearl
2500,Compound,40,studio,1,Unfurnished,Security,Old Airport Road
7800,Apartment,60,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,Shared Spa,View of Water",The Pearl
6000,Apartment,72,studio,1,Partly furnished,"Balcony,Built in Wardrobes,Central A/C,Children's Play Area,Concierge,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
6700,Apartment,61,studio,1,Furnished,"Balcony,Central A/C,Covered Parking,Kitchen Appliances,Security,Shared Gym,Shared Pool,View of Water",The Pearl
7900,Apartment,60,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,Shared Spa,View of Water",The Pearl
8000,Apartment,57,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Concierge,Covered Parking,Kitchen Appliances,Shared Gym,Shared Pool,Shared Spa",The Pearl
6500,Apartment,60,studio,1,,,The Pearl
2800,Apartment,50,studio,1,Unfurnished,"Central A/C,Security",Al Duhail
6700,Apartment,60,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,Shared Spa,View of Water",The Pearl
6200,Apartment,60,studio,1,Furnished,"Central A/C,Children's Play Area,Kitchen Appliances,Security,Shared Gym,Shared Pool",The Pearl
2725,Apartment,30,studio,1,,,Mesaimeer
7000,Apartment,60,studio,1,Furnished,"Balcony,Built in Wardrobes,Central A/C,Kitchen Appliances,Pets Allowed,Security,Shared Gym,Shared Pool,Shared Spa,View of Water",The Pearl
9000,Apartment,43,studio,1,Unfurnished,"Central A/C,Concierge,Kitchen Appliances,Maid Service,Private Jacuzzi,Security,Shared Gym,Shared Pool,Shared Spa",West Bay
